ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,Year,Half,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,ROA,Total_Assets,Total_Revenue,Total_Liabilities,Net_Income,E_Dummy,S_Dummy,G_Dummy
LEA,US5218652049,US,2021,H2,3.3333333333333335,4.1499999999999995,5.483333333333333,2.800245648722327,13352.4,19263.1,8544.0,373.9,0,1,1
LEA,US5218652049,US,2022,H1,3.5,4.6,5.483333333333333,2.800245648722327,13352.4,19263.1,8544.0,373.9,0,1,1
LEA,US5218652049,US,2022,H2,3.9,5.599999999999999,1.0666666666666667,2.3810215795974714,13763.0,20891.5,8932.7,327.7,0,1,0
LEA,US5218652049,US,2023,H1,3.85,4.675,1.9733333333333334,2.3810215795974714,13763.0,20891.5,8932.7,327.7,0,1,0
LEA,US5218652049,US,2023,H2,3.6,0.05000000000000001,5.400000000000001,3.895750399782246,14695.5,23466.9,9634.9,572.5,0,0,1
LEA,US5218652049,US,2024,H1,3.6,1.7999999999999998,5.400000000000001,3.895750399782246,14695.5,23466.9,9634.9,572.5,0,0,1
MBG,US233835AQ08,US,2022,H1,7.175,3.775,1.105,,,,,,1,1,0
MBG,US233835AQ08,US,2022,H2,6.8500000000000005,4.3,4.133333333333333,,,,,,1,1,1
MBG,US233835AQ08,US,2023,H1,6.599999999999999,3.7999999999999994,4.333333333333333,,,,,,1,1,1
MBG,US233835AQ08,US,2023,H2,6.683333333333334,3.5,4.5,,,,,,1,1,1
MBG,US233835AQ08,US,2024,H1,5.8,4.2,4.5,,,,,,1,1,1
MOD,US6078281002,US,2018,H1,4.5,0.05000000000000001,7.3500000000000005,1.4109571628320832,1573.4,2103.1,1074.9,22.2,0,0,1
MOD,US6078281002,US,2018,H2,4.2,2.475,7.166666666666667,1.4109571628320832,1573.4,2103.1,1074.9,22.2,0,0,1
MOD,US6078281002,US,2019,H1,3.9,4.9,7.05,1.4109571628320832,1573.4,2103.1,1074.9,22.2,0,1,1
MOD,US6078281002,US,2019,H2,3.766666666666667,5.066666666666667,7.383333333333333,5.513654096228868,1538.0,2212.7,996.9,84.8,0,1,1
MOD,US6078281002,US,2020,H1,3.5,5.400000000000001,7.233333333333333,5.513654096228868,1538.0,2212.7,996.9,84.8,0,1,1
MOD,US6078281002,US,2021,H2,3.1,5.1,6.0200000000000005,-16.50348554868019,1276.7,1808.4,920.6,-210.7,0,1,1
MOD,US6078281002,US,2022,H1,3.1,5.1,5.916666666666667,-16.50348554868019,1276.7,1808.4,920.6,-210.7,0,1,1
